year,fire_number,fire_start_date,start_month,start_doy,latitude,longitude,fire_origin,general_cause,grid_id_30000m
2022,PWF047,2022-07-16 16:30:00,7.0,197.0,56.8652,-118.513217,Provincial Land,Lightning,"155,87"
2022,LWF115,2022-07-16 19:31:00,7.0,197.0,56.013,-111.046967,Provincial Land,Lightning,"168,79"
2022,HWF066,2022-07-16 19:00:00,7.0,197.0,58.549583,-115.289967,Provincial Land,Lightning,"163,91"
2022,LWF117,2022-07-17 14:28:00,7.0,198.0,56.069217,-110.705883,Provincial Land,Lightning,"169,79"
2022,LWF118,2022-07-18 14:55:00,7.0,199.0,56.041133,-110.318967,Provincial Land,Lightning,"170,79"
2022,MWF054,2022-07-16 16:20:00,7.0,197.0,57.014483,-110.221017,Provincial Land,Lightning,"171,82"
2022,HWF067,2022-07-18 16:41:00,7.0,199.0,58.162833,-116.418167,Private Land,Agriculture Industry,"161,90"
2022,LWF120,2022-07-18 15:55:00,7.0,199.0,55.140083,-112.496217,Private Land,Resident,"164,77"
2022,PWF051,2022-07-16 18:30:00,7.0,197.0,56.392917,-117.639183,Private Land,Government,"156,85"
2022,LWF122,2022-07-19 15:15:00,7.0,200.0,54.624167,-110.52015,Provincial Land,Power Line Industry,"168,74"
2022,WWF041,2022-07-19 16:00:00,7.0,200.0,54.324616,-116.611206,Provincial Land,Power Line Industry,"155,77"
2022,LWF028,2022-04-25 14:00:00,4.0,115.0,54.874547,-113.137053,Provincial Land,Undetermined,"163,77"
2022,LWF029,2022-04-25 17:00:00,4.0,115.0,55.926583,-110.7223,Indian Reservation,Resident,"169,79"
2022,SWF013,2022-04-25 18:55:00,4.0,115.0,56.552033,-115.309167,Private Land,Resident,"161,84"
2022,LWF030,2022-04-26 11:00:00,4.0,116.0,55.930683,-110.726617,Indian Reservation,Incendiary,"169,79"
2022,LWF031,2022-04-26 12:52:00,4.0,116.0,55.940523,-110.718293,Indian Reservation,Incendiary,"169,79"
2022,LWF033,2022-04-26 18:10:00,4.0,116.0,55.927533,-110.7221,Indian Reservation,Incendiary,"169,79"
2022,LWF100,2022-06-19 02:00:00,6.0,170.0,54.384217,-111.0297,Private Land,Undetermined,"167,74"
2022,HWF032,2022-06-20 16:00:00,6.0,171.0,59.849323,-118.31276,Provincial Land,Lightning,"160,97"
2022,CWF077,2022-06-22 06:00:00,6.0,173.0,49.575733,-114.449817,Provincial Land,Under Investigation,"153,59"
2022,CWF053,2022-05-23 12:00:00,5.0,143.0,51.260912,-115.0887,Provincial Land,Recreation,"154,66"
2022,EWF046,2022-05-23 13:45:00,5.0,143.0,53.649433,-116.434367,Provincial Land,Resident,"155,75"
2022,WWF023,2022-05-22 22:00:00,5.0,142.0,54.660998,-114.543307,Provincial Land,Recreation,"160,77"
